metric,n,problem_seed,method,value
loss_variance,5,1,uniform,0.03296778386202025
loss_variance,7,1,reduced-domain,0.019794669454831843
loss_variance,7,1,Gaussian,0.006243360655274236
loss_variance,7,1,small,4.571346018277298e-08
loss_variance,7,1,MBL,0.007504231440747865
loss_variance,7,1,Xavier-normal,0.02117735270822109
loss_variance,7,1,Xavier-uniform,0.021694564214006007
loss_variance,7,1,GMM,0.6383978896702733
loss_variance,7,1,uniform,0.007632854285870859
loss_variance,9,1,reduced-domain,0.01452531316739589
loss_variance,9,1,Gaussian,0.0048527954800269045
loss_variance,9,1,small,9.902754525463437e-09
loss_variance,9,1,MBL,0.007801139366447444
loss_variance,9,1,Xavier-normal,0.022185962738191487
loss_variance,9,1,Xavier-uniform,0.02016971844966522
loss_variance,9,1,GMM,0.5821740679524628
loss_variance,9,1,uniform,0.0019722873589880473
loss_variance,11,1,reduced-domain,0.014574945072827129
loss_variance,11,1,Gaussian,0.0043774210904632
loss_variance,11,1,small,3.4501233980583187e-09
loss_variance,11,1,MBL,0.010505094461826799
loss_variance,11,1,Xavier-normal,0.01274911380769074
loss_variance,11,1,Xavier-uniform,0.013403507134766962
loss_variance,11,1,GMM,0.6421209897802784
loss_variance,11,1,uniform,0.000516305478946176
loss_variance,13,1,reduced-domain,0.01586119328791999
loss_variance,13,1,Gaussian,0.005240561465893701
loss_variance,13,1,small,1.7452720568490639e-09
loss_variance,13,1,MBL,0.013713966401856839
loss_variance,13,1,Xavier-normal,0.013433479383622233
loss_variance,13,1,Xavier-uniform,0.012601063652269824
loss_variance,13,1,GMM,0.6325245475869143
loss_variance,13,1,uniform,0.00013399269202810064
loss_variance,15,1,reduced-domain,0.02471005887641637
loss_variance,15,1,Gaussian,0.007712017588621216
loss_variance,15,1,small,1.1270802923829992e-09
loss_variance,15,1,MBL,0.025288587385845655
loss_variance,15,1,Xavier-normal,0.015273721138905344
loss_variance,15,1,Xavier-uniform,0.015588538853144412
loss_variance,15,1,GMM,0.6210997441349824
loss_variance,15,1,uniform,3.263943655030949e-05
loss_variance,17,1,reduced-domain,0.01975217519673813
loss_variance,17,1,Gaussian,0.00619393290903422
loss_variance,17,1,small,6.333887879280757e-10
loss_variance,17,1,MBL,0.02396993080556483
loss_variance,17,1,Xavier-normal,0.014839805242837588
loss_variance,17,1,Xavier-uniform,0.014451288371629066
loss_variance,17,1,GMM,0.6444841215029905
loss_variance,17,1,uniform,9.16183252521304e-06
loss_variance,19,1,reduced-domain,0.016447553340944467
loss_variance,19,1,Gaussian,0.004751838817117008
loss_variance,19,1,small,2.4860480905718406e-10
loss_variance,19,1,MBL,0.016344090560436682
loss_variance,19,1,Xavier-normal,0.012858279230827855
loss_variance,19,1,Xavier-uniform,0.012795170695438578
loss_variance,19,1,GMM,0.6580995621879756
loss_variance,19,1,uniform,2.363992553799887e-06
loss_variance,3,2,reduced-domain,0.02604524856308972
loss_variance,3,2,Gaussian,0.006092165103196723
loss_variance,3,2,small,6.06994856378098e-06
loss_variance,3,2,MBL,0.0012922286862319398
loss_variance,3,2,Xavier-normal,0.09015123333614365
loss_variance,3,2,Xavier-uniform,0.09899812990599598
loss_variance,3,2,GMM,0.6433314076124433
loss_variance,3,2,uniform,0.11351443078093816
loss_variance,5,2,reduced-domain,0.021180877058186127
loss_variance,5,2,Gaussian,0.006574844677635158
loss_variance,5,2,small,2.7242254555490184e-07
loss_variance,5,2,MBL,0.004161276713779206
loss_variance,5,2,Xavier-normal,0.03636913584812347
loss_variance,5,2,Xavier-uniform,0.03730454983358409
loss_variance,5,2,GMM,0.6519032297920262
loss_variance,5,2,uniform,0.030557899298705588
loss_variance,7,2,reduced-domain,0.008358187494968503
loss_variance,7,2,Gaussian,0.002940211377214407
loss_variance,7,2,small,2.056537800171411e-08
loss_variance,7,2,MBL,0.0031014282775672247
loss_variance,7,2,Xavier-normal,0.02158598376355516
loss_variance,7,2,Xavier-uniform,0.02104455925154422
loss_variance,7,2,GMM,0.6430720531761376
loss_variance,7,2,uniform,0.007873485452709389
loss_variance,9,2,reduced-domain,0.01571377243872912
loss_variance,9,2,Gaussian,0.004850077002172322
loss_variance,9,2,small,1.0208782849575481e-08
loss_variance,9,2,MBL,0.007889532520044878
loss_variance,9,2,Xavier-normal,0.022949499899558894
loss_variance,9,2,Xavier-uniform,0.021604028517485042
loss_variance,9,2,GMM,0.6467321668878299
loss_variance,9,2,uniform,0.0020980636401050916
loss_variance,11,2,reduced-domain,0.01560290368592928
loss_variance,11,2,Gaussian,0.004901994854559589
loss_variance,11,2,small,3.6508066304117385e-09
loss_variance,11,2,MBL,0.011716455161891778
loss_variance,11,2,Xavier-normal,0.015245866907779775
loss_variance,11,2,Xavier-uniform,0.014506500347277972
loss_variance,11,2,GMM,0.6028001028439908
loss_variance,11,2,uniform,0.0005189678873582202
loss_variance,13,2,reduced-domain,0.01534414435744636
loss_variance,13,2,Gaussian,0.004643319117642069
loss_variance,13,2,small,1.5080459352273863e-09
loss_variance,13,2,MBL,0.012527923566443857
loss_variance,13,2,Xavier-normal,0.016917849069398288
loss_variance,13,2,Xavier-uniform,0.015576503399919213
loss_variance,13,2,GMM,0.5852644425552668
loss_variance,13,2,uniform,0.00013807681372611774
loss_variance,15,2,reduced-domain,0.01899242475967815
loss_variance,15,2,Gaussian,0.0065830522126523955
loss_variance,15,2,small,9.421272343956574e-10
loss_variance,15,2,MBL,0.018366131532753807
loss_variance,15,2,Xavier-normal,0.013109262144614074
loss_variance,15,2,Xavier-uniform,0.012374178636706142
loss_variance,15,2,GMM,0.617547769064052
loss_variance,15,2,uniform,3.118296906304904e-05
loss_variance,17,2,reduced-domain,0.008948563350461944
loss_variance,17,2,Gaussian,0.003071377575029569
loss_variance,17,2,small,2.6479438359642413e-10
loss_variance,17,2,MBL,0.010217227566501185
loss_variance,17,2,Xavier-normal,0.011962328825888057
loss_variance,17,2,Xavier-uniform,0.011478626715052322
loss_variance,17,2,GMM,0.6354944006176331
loss_variance,17,2,uniform,9.550277975442493e-06
loss_variance,19,2,reduced-domain,0.01885796830790292
loss_variance,19,2,Gaussian,0.005811947426446234
loss_variance,19,2,small,2.9762282165528426e-10
loss_variance,19,2,MBL,0.021168266970048186
loss_variance,19,2,Xavier-normal,0.015158949925155133
loss_variance,19,2,Xavier-uniform,0.014090500911739634
loss_variance,19,2,GMM,0.5956363898542879
loss_variance,19,2,uniform,2.7845979559320626e-06
loss_variance,3,3,reduced-domain,0.011499292310608446
loss_variance,3,3,Gaussian,0.002921433395522915
loss_variance,3,3,small,2.3049062193242603e-06
loss_variance,3,3,MBL,0.00045025413152548574
loss_variance,3,3,Xavier-normal,0.12754957767601077
loss_variance,3,3,Xavier-uniform,0.12891352289479632
loss_variance,3,3,GMM,0.5998364033675271
loss_variance,3,3,uniform,0.11298637870501745
loss_variance,5,3,reduced-domain,0.01010530678881734
loss_variance,5,3,Gaussian,0.002979384250407218
loss_variance,5,3,small,1.353661895541774e-07
loss_variance,5,3,MBL,0.0016796577970544819
loss_variance,5,3,Xavier-normal,0.05055945692800114
loss_variance,5,3,Xavier-uniform,0.0481472968521089
loss_variance,5,3,GMM,0.6495622619458021
loss_variance,5,3,uniform,0.030319834277114384
loss_variance,7,3,reduced-domain,0.021818677116523022
loss_variance,7,3,Gaussian,0.007331932396938403
loss_variance,7,3,small,4.834964998792899e-08
loss_variance,7,3,MBL,0.007225407934207033
loss_variance,7,3,Xavier-normal,0.0246127428273861
loss_variance,7,3,Xavier-uniform,0.023137684938203975
loss_variance,7,3,GMM,0.619992381853016
loss_variance,7,3,uniform,0.008105639287635276
loss_variance,9,3,reduced-domain,0.012279026036117703
loss_variance,9,3,Gaussian,0.003643200680040873
loss_variance,9,3,small,7.2930083167477634e-09
loss_variance,9,3,MBL,0.005756364490979862
loss_variance,9,3,Xavier-normal,0.020716856283662502
loss_variance,9,3,Xavier-uniform,0.019021233278200184
loss_variance,9,3,GMM,0.6068956977922255
loss_variance,9,3,uniform,0.0020940085219845377
loss_variance,11,3,reduced-domain,0.019787108745904395
loss_variance,11,3,Gaussian,0.007064366207935041
loss_variance,11,3,small,4.832900412145791e-09
loss_variance,11,3,MBL,0.014036831011817333
loss_variance,11,3,Xavier-normal,0.017948121396404667
loss_variance,11,3,Xavier-uniform,0.017155876692263837
loss_variance,11,3,GMM,0.6299273983860566
loss_variance,11,3,uniform,0.0005271620346035459
loss_variance,13,3,reduced-domain,0.022915320257725965
loss_variance,13,3,Gaussian,0.008039181486129037
loss_variance,13,3,small,2.6459674397171637e-09
loss_variance,13,3,MBL,0.021152176908984344
loss_variance,13,3,Xavier-normal,0.013263374040611757
loss_variance,13,3,Xavier-uniform,0.012934507099566117
loss_variance,13,3,GMM,0.562059694477294
loss_variance,13,3,uniform,0.0001231205738698432
loss_variance,3,4,reduced-domain,0.02304925672276934
loss_variance,3,4,Gaussian,0.004872637586992681
loss_variance,3,4,small,4.976660000606785e-06
loss_variance,3,4,MBL,0.0010014682961886883
loss_variance,3,4,Xavier-normal,0.11366202944424283
loss_variance,3,4,Xavier-uniform,0.11649926676983005
loss_variance,3,4,GMM,0.6391448518926905
loss_variance,3,4,uniform,0.1156667788053099
loss_variance,5,4,reduced-domain,0.017712819355413037
loss_variance,5,4,Gaussian,0.0052162959036542115
loss_variance,5,4,small,2.4052427039274685e-07
loss_variance,5,4,MBL,0.002934087065921411
loss_variance,5,4,Xavier-normal,0.04271406196881296
loss_variance,5,4,Xavier-uniform,0.03795390999255422
loss_variance,5,4,GMM,0.6348424811479105
loss_variance,5,4,uniform,0.03135359225778443
loss_variance,7,4,reduced-domain,0.016326526721427863
loss_variance,7,4,Gaussian,0.00563662652771918
loss_variance,7,4,small,3.870365087841558e-08
loss_variance,7,4,MBL,0.005768099404140367
loss_variance,7,4,Xavier-normal,0.034815541451609935
loss_variance,7,4,Xavier-uniform,0.03423846343510538
loss_variance,7,4,GMM,0.6454548241884623
loss_variance,7,4,uniform,0.007850488822886298
loss_variance,9,4,reduced-domain,0.01888111958663548
loss_variance,9,4,Gaussian,0.005932613906911525
loss_variance,9,4,small,1.1770833570157226e-08
loss_variance,9,4,MBL,0.009922156127795328
loss_variance,9,4,Xavier-normal,0.01392063617178075
loss_variance,9,4,Xavier-uniform,0.013507109242771459
loss_variance,9,4,GMM,0.6283103095502629
loss_variance,9,4,uniform,0.0019295227359433199
loss_variance,11,4,reduced-domain,0.015892052380029265
loss_variance,11,4,Gaussian,0.005495874046238785
loss_variance,11,4,small,4.535806373252339e-09
loss_variance,11,4,MBL,0.01102495992598178
loss_variance,11,4,Xavier-normal,0.01547822644680099
loss_variance,11,4,Xavier-uniform,0.014130218270956235
loss_variance,11,4,GMM,0.6333768911066673
loss_variance,11,4,uniform,0.0004945455255645143
loss_variance,13,4,reduced-domain,0.008380617418543011
loss_variance,13,4,Gaussian,0.002799669123325581
loss_variance,13,4,small,9.417304162627017e-10
loss_variance,13,4,MBL,0.008023509116628079
loss_variance,13,4,Xavier-normal,0.013303768955021672
loss_variance,13,4,Xavier-uniform,0.012519861807139645
loss_variance,13,4,GMM,0.6589633314839566
loss_variance,13,4,uniform,0.00014077510311417965
loss_variance,15,4,reduced-domain,0.013307450738658978
loss_variance,15,4,Gaussian,0.0049548308852716706
loss_variance,15,4,small,7.452016794823563e-10
loss_variance,15,4,MBL,0.015018377097361549
loss_variance,15,4,Xavier-normal,0.014745984406202804
loss_variance,15,4,Xavier-uniform,0.013497918768795868
loss_variance,15,4,GMM,0.6236916171295714
loss_variance,15,4,uniform,3.247178447308394e-05
loss_variance,17,4,reduced-domain,0.020413405853522866
loss_variance,17,4,Gaussian,0.006753710628319366
loss_variance,17,4,small,6.17090795564156e-10
loss_variance,17,4,MBL,0.021328569905937424
loss_variance,17,4,Xavier-normal,0.015253694055699766
loss_variance,17,4,Xavier-uniform,0.01365804986953022
loss_variance,17,4,GMM,0.6100089484547023
loss_variance,17,4,uniform,9.14886932266778e-06
loss_variance,19,4,reduced-domain,0.018785061225912766
loss_variance,19,4,Gaussian,0.006307359785118738
loss_variance,19,4,small,3.4479055351552787e-10
loss_variance,19,4,MBL,0.023012387769185363
loss_variance,19,4,Xavier-normal,0.012089828937328833
loss_variance,19,4,Xavier-uniform,0.011597547025919515
loss_variance,19,4,GMM,0.6410154715854661
loss_variance,19,4,uniform,2.3842721372579904e-06
loss_variance,3,5,reduced-domain,0.025474131001156985
loss_variance,3,5,Gaussian,0.005653150188125149
loss_variance,3,5,small,5.7102833623461245e-06
loss_variance,3,5,MBL,0.0012156263188267164
loss_variance,3,5,Xavier-normal,0.0966927581689515
loss_variance,3,5,Xavier-uniform,0.10293410019392339
loss_variance,3,5,GMM,0.6471370116367812
loss_variance,3,5,uniform,0.11442584506629218
loss_variance,5,5,reduced-domain,0.007795601614116788
loss_variance,5,5,Gaussian,0.0022104964945674254
loss_variance,5,5,small,9.780619630960701e-08
loss_variance,5,5,MBL,0.0012584567448466082
loss_variance,5,5,Xavier-normal,0.047802681581940426
loss_variance,5,5,Xavier-uniform,0.04713454639815567
loss_variance,5,5,GMM,0.6237754180920854
loss_variance,5,5,uniform,0.028999190486121634
loss_variance,7,5,reduced-domain,0.010282891771397464
loss_variance,7,5,Gaussian,0.003321045742974375
loss_variance,7,5,small,2.3362864714817283e-08
loss_variance,7,5,MBL,0.003431922650211541
loss_variance,7,5,Xavier-normal,0.030457108543685572
loss_variance,7,5,Xavier-uniform,0.025814817621317935
loss_variance,7,5,GMM,0.6087350527445291
loss_variance,7,5,uniform,0.008049942370747354
loss_variance,9,5,reduced-domain,0.012936043681428392
loss_variance,9,5,Gaussian,0.0042986895672004165
loss_variance,9,5,small,7.440327705343622e-09
loss_variance,9,5,MBL,0.00645358681984647
loss_variance,9,5,Xavier-normal,0.02462379646310754
loss_variance,9,5,Xavier-uniform,0.02454815407552268
loss_variance,9,5,GMM,0.6435759281719821
loss_variance,9,5,uniform,0.0020875851217216795
loss_variance,11,5,reduced-domain,0.011352479592137582
loss_variance,11,5,Gaussian,0.003434252864966939
loss_variance,11,5,small,2.629703600655051e-09
loss_variance,11,5,MBL,0.0072906022376375244
loss_variance,11,5,Xavier-normal,0.018397571988556686
loss_variance,11,5,Xavier-uniform,0.016679963380561453
loss_variance,11,5,GMM,0.6173983748994857
loss_variance,11,5,uniform,0.0005152955639737348
loss_variance,13,5,reduced-domain,0.02516684445179067
loss_variance,13,5,Gaussian,0.007632730487875452
loss_variance,13,5,small,2.59753161767237e-09
loss_variance,13,5,MBL,0.02087183400057335
loss_variance,13,5,Xavier-normal,0.022061281794689958
loss_variance,13,5,Xavier-uniform,0.023995404717882397
loss_variance,13,5,GMM,0.6150089244205897
loss_variance,13,5,uniform,0.00014405050989485283
loss_variance,15,5,reduced-domain,0.010040834049258665
loss_variance,15,5,Gaussian,0.0033255656322932607
loss_variance,15,5,small,5.166925474888804e-10
loss_variance,15,5,MBL,0.010533009947339942
loss_variance,15,5,Xavier-normal,0.018466623220635272
loss_variance,15,5,Xavier-uniform,0.016839264119093797
loss_variance,15,5,GMM,0.5995936748666727
loss_variance,15,5,uniform,3.6166293280733946e-05
loss_variance,17,5,reduced-domain,0.01664507737081264
loss_variance,17,5,Gaussian,0.004634834324058024
loss_variance,17,5,small,4.5943261898152014e-10
loss_variance,17,5,MBL,0.01872244916643468
loss_variance,17,5,Xavier-normal,0.015175088898394988
loss_variance,17,5,Xavier-uniform,0.01644925970243109
loss_variance,17,5,GMM,0.6226242111621711
loss_variance,17,5,uniform,9.502330504455992e-06
loss_variance,19,5,reduced-domain,0.021982551919218603
loss_variance,19,5,Gaussian,0.007273655271110737
loss_variance,19,5,small,4.519004740070836e-10
loss_variance,19,5,MBL,0.027702269315504433
loss_variance,19,5,Xavier-normal,0.016712180689005134
loss_variance,19,5,Xavier-uniform,0.01512290972306089
loss_variance,19,5,GMM,0.5842096571157472
loss_variance,19,5,uniform,2.380677034380522e-06
mean_squared_gradient,3,1,reduced-domain,0.04281512310842312
mean_squared_gradient,3,1,Gaussian,0.02368807446756739
mean_squared_gradient,3,1,small,0.003059283839888298
mean_squared_gradient,3,1,MBL,0.009697953098942157
mean_squared_gradient,3,1,Xavier-normal,0.10153192893789066
mean_squared_gradient,3,1,Xavier-uniform,0.11323884089778216
mean_squared_gradient,3,1,GMM,0.020426810880410713
mean_squared_gradient,3,1,uniform,0.1229577501296226
mean_squared_gradient,5,1,reduced-domain,0.024444682516723278
mean_squared_gradient,5,1,Gaussian,0.016867123660420355
mean_squared_gradient,5,1,small,0.000509426052379277
mean_squared_gradient,5,1,MBL,0.013985085593361004
mean_squared_gradient,5,1,Xavier-normal,0.020846259198959417
mean_squared_gradient,5,1,Xavier-uniform,0.021425139282818126
mean_squared_gradient,5,1,GMM,0.03258671735080658
mean_squared_gradient,5,1,uniform,0.016245710014113707
mean_squared_gradient,7,1,reduced-domain,0.03867462205438588
mean_squared_gradient,7,1,Gaussian,0.023386329014039996
mean_squared_gradient,7,1,small,0.0003000969327459124
mean_squared_gradient,7,1,MBL,0.028077466445254502
mean_squared_gradient,7,1,Xavier-normal,0.030890793243393232
mean_squared_gradient,7,1,Xavier-uniform,0.02595475807753295
mean_squared_gradient,7,1,GMM,0.10187374429895427
mean_squared_gradient,7,1,uniform,0.012754502538798555
mean_squared_gradient,9,1,reduced-domain,0.047045160689689246
mean_squared_gradient,9,1,Gaussian,0.027917872195150798
mean_squared_gradient,9,1,small,0.00023353578333521052
mean_squared_gradient,9,1,MBL,0.03857275195355827
mean_squared_gradient,9,1,Xavier-normal,0.029336731662398592
mean_squared_gradient,9,1,Xavier-uniform,0.029350334015850955
mean_squared_gradient,9,1,GMM,0.09618075681159181
mean_squared_gradient,9,1,uniform,0.003820264707424638
mean_squared_gradient,11,1,reduced-domain,0.011527165506101354
mean_squared_gradient,11,1,Gaussian,0.00627860520436659
mean_squared_gradient,11,1,small,4.137132690055881e-05
mean_squared_gradient,11,1,MBL,0.008577150682936257
mean_squared_gradient,11,1,Xavier-normal,0.01556621881874463
mean_squared_gradient,11,1,Xavier-uniform,0.015639135630307954
mean_squared_gradient,11,1,GMM,0.0993813227832998
mean_squared_gradient,11,1,uniform,0.0008486492992811647
mean_squared_gradient,13,1,reduced-domain,0.0772011050066409
mean_squared_gradient,13,1,Gaussian,0.053184404213290154
mean_squared_gradient,13,1,small,0.00023339624631311032
mean_squared_gradient,13,1,MBL,0.07201667777151952
mean_squared_gradient,13,1,Xavier-normal,0.01784609122456392
mean_squared_gradient,13,1,Xavier-uniform,0.016310471506985322
mean_squared_gradient,13,1,GMM,0.11614280376372992
mean_squared_gradient,13,1,uniform,0.00030102481739350656
mean_squared_gradient,15,1,reduced-domain,0.04049582685719424
mean_squared_gradient,15,1,Gaussian,0.027825421082438042
mean_squared_gradient,15,1,small,0.00010130162974020003
mean_squared_gradient,15,1,MBL,0.041625707532750286
mean_squared_gradient,15,1,Xavier-normal,0.016892088301642943
mean_squared_gradient,15,1,Xavier-uniform,0.015711808817574217
mean_squared_gradient,15,1,GMM,0.10637959934787478
mean_squared_gradient,15,1,uniform,8.615131030230769e-05
mean_squared_gradient,17,1,reduced-domain,0.07583199997293899
mean_squared_gradient,17,1,Gaussian,0.04641193286406346
mean_squared_gradient,17,1,small,0.00013005751961840442
mean_squared_gradient,17,1,MBL,0.07289343657257237
mean_squared_gradient,17,1,Xavier-normal,0.01678203681655135
mean_squared_gradient,17,1,Xavier-uniform,0.015889210030081966
mean_squared_gradient,17,1,GMM,0.09867419654058728
mean_squared_gradient,17,1,uniform,2.8787834302921068e-05
mean_squared_gradient,19,1,reduced-domain,0.09562727283405396
mean_squared_gradient,19,1,Gaussian,0.05931050446952408
mean_squared_gradient,19,1,small,0.00011773010469398657
mean_squared_gradient,19,1,MBL,0.10578744411081109
mean_squared_gradient,19,1,Xavier-normal,0.01680851315107136
mean_squared_gradient,19,1,Xavier-uniform,0.01440338286115979
mean_squared_gradient,19,1,GMM,0.08772129006066638
mean_squared_gradient,19,1,uniform,8.696756295278248e-06
mean_squared_gradient,3,2,reduced-domain,0.14562504099724366
mean_squared_gradient,3,2,Gaussian,0.0854437504734081
mean_squared_gradient,3,2,small,0.011336103759769735
mean_squared_gradient,3,2,MBL,0.0355106350047585
mean_squared_gradient,3,2,Xavier-normal,0.1192844674217572
mean_squared_gradient,3,2,Xavier-uniform,0.11322313015543634
mean_squared_gradient,3,2,GMM,0.136671628434909
mean_squared_gradient,3,2,uniform,0.11056059207201846
mean_squared_gradient,5,2,reduced-domain,0.07175708259612971
mean_squared_gradient,5,2,Gaussian,0.050685363858154586
mean_squared_gradient,5,2,small,0.0015414987854463025
mean_squared_gradient,5,2,MBL,0.041526023815287715
mean_squared_gradient,5,2,Xavier-normal,0.07152478048942629
mean_squared_gradient,5,2,Xavier-uniform,0.06897717453952587
mean_squared_gradient,5,2,GMM,0.1513208386838758
mean_squared_gradient,5,2,uniform,0.044594057958361064
mean_squared_gradient,7,2,reduced-domain,0.07357769282196068
mean_squared_gradient,7,2,Gaussian,0.04563539967145225
mean_squared_gradient,7,2,small,0.0005965326691316638
mean_squared_gradient,7,2,MBL,0.05382807895249718
mean_squared_gradient,7,2,Xavier-normal,0.038192280288620525
mean_squared_gradient,7,2,Xavier-uniform,0.0343016027032365
mean_squared_gradient,7,2,GMM,0.11578438902260936
mean_squared_gradient,7,2,uniform,0.015254988865800758
mean_squared_gradient,9,2,reduced-domain,0.19561484910380988
mean_squared_gradient,9,2,Gaussian,0.1220145233948788
mean_squared_gradient,9,2,small,0.0010556796881621055
mean_squared_gradient,9,2,MBL,0.16620062317016313
mean_squared_gradient,9,2,Xavier-normal,0.04269695929424853
mean_squared_gradient,9,2,Xavier-uniform,0.04432837396792593
mean_squared_gradient,9,2,GMM,0.10271691087756424
mean_squared_gradient,9,2,uniform,0.005697180354441606
mean_squared_gradient,11,2,reduced-domain,0.21383612655945555
mean_squared_gradient,11,2,Gaussian,0.13184301151977781
mean_squared_gradient,11,2,small,0.0009196712020868481
mean_squared_gradient,11,2,MBL,0.16642254439580081
mean_squared_gradient,11,2,Xavier-normal,0.027104895882405736
mean_squared_gradient,11,2,Xavier-uniform,0.024342911131252122
mean_squared_gradient,11,2,GMM,0.09579102689014664
mean_squared_gradient,11,2,uniform,0.0014751601386564835
mean_squared_gradient,13,2,reduced-domain,0.05826111178469931
mean_squared_gradient,13,2,Gaussian,0.03916968813501994
mean_squared_gradient,13,2,small,0.00017118406918038452
mean_squared_gradient,13,2,MBL,0.05285968004066948
mean_squared_gradient,13,2,Xavier-normal,0.024436798979902575
mean_squared_gradient,13,2,Xavier-uniform,0.02425953049215351
mean_squared_gradient,13,2,GMM,0.12515144693106564
mean_squared_gradient,13,2,uniform,0.0004877350658484201
mean_squared_gradient,15,2,reduced-domain,0.0678500261884343
mean_squared_gradient,15,2,Gaussian,0.04471409687080923
mean_squared_gradient,15,2,small,0.00017059654621299374
mean_squared_gradient,15,2,MBL,0.06943321303106145
mean_squared_gradient,15,2,Xavier-normal,0.023288394159063218
mean_squared_gradient,15,2,Xavier-uniform,0.021321558021285006
mean_squared_gradient,15,2,GMM,0.10797181185149063
mean_squared_gradient,15,2,uniform,0.0001050742277337417
mean_squared_gradient,17,2,reduced-domain,0.08216284804572155
mean_squared_gradient,17,2,Gaussian,0.05000367969779664
mean_squared_gradient,17,2,small,0.00014101391108365194
